Critics,Audience,Title,Credit,Box Office,Year
61,53,Vampire's Kiss,Peter Loew (Character),$96.7K,1989
94,80,Moonstruck,Ronny Cammareri (Character),$80.0M,1987
91,85,Raising Arizona,H.I. McDonnough (Character),$21.1M,1987
0,43,The Boy in Blue,Ned Hanlan (Character),$235.9K,1986
86,55,Peggy Sue Got Married,Charlie Bodell (Character),$37.7M,1986
60,62,Racing With the Moon,Nicky/Bud (Character),-,1984
77,55,The Cotton Club,Vincent Dwyer (Character),-,1984
83,83,Birdy,Sergeant Al Columbato (Character),-,1984
74,80,Rumble Fish,Smokey (Character),-,1983
83,72,Valley Girl,Randy (Character),-,1983
77,80,Fast Times at Ridgemont High,Brad's Bud (Character),-,1982
